Año,Trimestre,Provincia,Otros,"0,256 Mbps","0,375 Mbps","0,625 Mbps","0,5 Mbps","0,512 Mbps","0,75 Mbps",1 Mbps,"1,2 Mbps","1,25 Mbps","1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps","6,7 Mbps",3 Mbps,"3,2 Mbps","3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,6 Mbps",11 Mbps,12 Mbps,13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,19 Mbps,20 Mbps,21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,11 Mbps","25,5 Mbps",26 Mbps,28 Mbps,29 Mbps,30 Mbps,31 Mbps,32 Mbps,34 Mbps,35 Mbps,36 Mbps,37 Mbps,38 Mbps,39 Mbps,40 Mbps,41 Mbps,45 Mbps,46 Mbps,47 Mbps,48 Mbps,49 Mbps,50 Mbps,51 Mbps,52 Mbps,54 Mbps,55 Mbps,56 Mbps,58 Mbps,59 Mbps,60 Mbps,61 Mbps,62 Mbps,63 Mbps,64 Mbps,65 Mbps,66 Mbps,67 Mbps,68 Mbps,70 Mbps,71 Mbps,75 Mbps,77 Mbps,78 Mbps,80 Mbps,81 Mbps,83 Mbps,82 Mbps,86 Mbps
2022,3,Santiago Del Estero,792,0,0,0,390,139,908,476,0,0,307,380,0,0,0,109600,0,0,0,1267,0,383,150600,0,1427,0,12,0,575430,0,0,12279,0,0,561,0,0,0,0,3247,0,0,0,0,451,0,0,0,0,0,0,459,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,4745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Tierra Del Fuego,3351,0,0,0,110,11,318,513,0,0,0,1,0,0,0,80,0,0,3740,2133,0,315,58050,0,0,0,9297,12,55060,0,0,12084,0,0,7743,0,0,207,0,68,0,0,0,148,1523,0,0,0,0,0,0,116,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,839,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Tucumán,280,0,0,0,190,20,0,2047,0,0,0,119,0,0,0,85110,0,0,2271,350,0,1194,201260,0,158,0,145,155,385600,0,0,10024,0,0,2451,0,0,0,1,12738,0,0,0,113,3079,0,0,0,10,0,0,1146,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,88470,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022,2,Buenos Aires,65849,19,0,0,304280,192,4611,23712,0,0,351,24158,0,25,0,621070,0,0,41976,13773,65,32905,1198780,0,11154,756,70266,275,2251030,0,10,32035,128,33,86086,301,2,17859,0,137500,3,1,18,25,73929,0,0,0,0,0,0,774956,1495,7,1,873,0,0,0,0,3304,9,0,0,0,0,1,995477,0,0,0,58,0,1,59,453704,78,1,0,0,10,0,0,0,3163,0,104021,0,2,216,0,1,0,0
2022,2,Capital Federal,105607,31,0,0,4510,35,1307,4673,0,0,0,334,0,0,0,48930,0,0,11975,992,0,3369,144730,0,7,0,16652,3,557720,0,5,3936,0,0,29971,5,0,13681,0,7774,1,0,0,0,25678,0,0,0,0,0,0,58948,0,0,0,9,0,0,0,30,123,0,0,0,0,0,0,406963,0,0,0,1,0,0,0,107522,0,0,0,0,0,1,0,0,3,0,32185,0,0,8,0,0,0,0
2022,2,Catamarca,2207,0,0,0,340,37,0,413,0,0,0,115,0,0,0,13370,0,0,0,0,0,18,22080,0,2,0,0,1,61520,0,0,2179,0,0,792,0,0,0,0,4194,0,0,0,2236,227,0,0,0,0,0,0,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,Chaco,3708,0,225,111,2340,2,0,936,0,25,0,780,0,0,0,46950,0,0,167,385,0,3638,79130,0,106,0,700,1,193020,0,0,2133,0,0,1796,0,0,221,0,4241,0,0,0,0,1543,0,0,0,0,0,0,14442,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,46059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,Chubut,20021,8,0,0,690,32,836,608,0,0,0,5486,0,0,0,51840,0,0,11441,5529,0,2415,157490,0,166,0,12602,424,180250,0,1,15228,0,0,18743,0,0,0,0,318,0,0,0,1791,4134,0,0,0,0,0,0,9590,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,14046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,Córdoba,13426,2,0,0,870,10,83,11888,0,0,7,9012,26,154,0,425340,0,6,4897,13430,0,7973,824470,13,2575,0,12207,2198,1034920,0,88,15687,35,10,24663,134,0,3396,0,27910,0,0,0,2,23571,5,1,35,0,0,0,5158,0,0,0,8,0,0,0,0,485,0,0,0,0,0,0,360907,0,0,0,0,0,0,0,5081,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0
2022,2,Corrientes,7107,0,0,0,100,57,118,3819,0,0,0,2959,0,0,0,72700,0,0,480,1688,0,1570,102860,0,0,0,2921,0,219210,0,0,171,0,0,1691,1108,0,201,0,4830,0,0,0,0,1235,0,0,0,0,0,0,20498,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,Entre Ríos,16759,1,0,0,200,86,113,5543,0,0,0,4659,0,0,0,111980,0,0,390,2393,0,5012,249850,0,1117,0,1541,3,458960,0,0,4337,0,0,3636,1,0,719,0,9819,0,0,0,0,3378,0,0,0,0,0,0,28995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,Formosa,590,0,0,0,490,48,0,407,0,0,0,1896,0,0,0,98910,0,0,0,3289,0,3085,56730,0,26,0,88,0,195920,0,0,326,0,0,538,0,0,195,0,5271,0,0,0,0,317,0,0,0,0,0,0,278,0,0,0,5,0,0,0,0,16,0,0,0,0,0,0,7583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,Jujuy,2453,0,0,0,260,32,0,1829,0,0,0,1637,0,0,0,53700,0,0,0,2855,0,4736,48600,0,10,0,999,0,147810,0,0,23223,0,0,520,0,0,4,0,14039,0,0,0,0,361,0,0,0,26,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022,2,La Pampa,3012,1,0,0,60,61,143,1744,0,0,185,3758,0,0,0,79200,0,0,2327,3412,0,2420,425240,0,118,0,1719,0,80050,0,0,27,0,0,6958,0,0,0,0,4815,0,0,0,0,72,0,0,0,0,0,0,5178,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14926,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,La Rioja,0,0,0,0,90,9,0,728,0,0,0,8,0,0,0,8990,0,0,0,2,0,162,21080,0,1,0,85,0,38040,0,22,15641,0,0,487,0,0,0,0,7664,0,0,0,705,266,0,0,0,0,0,0,4512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,Mendoza,3940,1,0,0,860,16,737,2217,0,0,1348,3359,0,0,0,49880,0,0,10699,1640,0,892,220350,0,1582,0,10780,1629,85660,0,0,36586,0,0,19422,0,0,0,0,8130,0,0,0,11992,143,0,0,0,0,0,0,53578,0,0,0,0,63,0,0,0,37,0,1,0,0,0,0,58158,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
2022,2,Misiones,8350,0,0,0,470,4,0,3808,0,0,0,11079,0,0,0,54070,0,0,4,1622,0,6237,129050,0,585,0,48,6,210730,0,4,177,0,1,3272,1,0,246,0,9073,0,0,0,0,979,0,0,0,0,0,0,18797,0,0,0,0,0,0,0,0,71,0,264,0,0,0,0,39048,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,553,0,0,0,0,0,0,0
2022,2,Neuquén,18717,0,0,0,620,72,458,541,0,0,0,1561,0,0,0,68810,0,0,10737,1464,0,9295,88880,0,276,0,7418,0,73720,0,0,1198,0,1,4702,0,0,765,0,2539,0,0,0,0,1572,0,0,0,0,0,0,12119,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,35827,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,Río Negro,24270,0,0,0,360,75,501,726,0,0,0,2935,0,0,0,67580,0,0,7796,2944,0,1900,110310,0,0,0,9421,4,85130,0,18,10313,0,0,9226,0,0,586,0,7025,0,0,0,0,2815,0,0,0,0,0,0,16128,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,19508,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0
2022,2,Salta,6494,0,0,0,410,73,1,1529,0,0,0,1553,0,0,0,79720,0,0,8,8200,0,4391,116080,0,303,0,5541,0,668170,0,0,429,0,0,2217,0,0,7,0,3359,0,0,0,0,1030,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,San Juan,11617,0,0,0,210,3,723,1304,0,0,0,1405,0,0,0,114930,0,0,11509,860,0,2024,30940,0,1174,0,9391,48,6630,0,0,13529,0,0,10662,0,0,0,0,458,0,0,0,2601,811,0,0,0,0,0,0,10387,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6215,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,San Luis,14815,0,0,0,590,1,163,143,0,0,0,100,0,0,0,12510,0,0,1418,0,0,119,39520,0,113,0,2373,1024,177070,0,0,9048,0,0,1827,0,0,0,0,177,0,0,0,0,67438,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,Santa Cruz,644,3,0,0,260,23,218,6623,0,0,0,2299,0,0,0,28590,0,0,2001,962,0,1921,23060,0,20,0,2318,11,90200,0,0,6061,0,0,4597,0,0,940,0,287,0,0,0,275,1865,0,0,0,0,0,0,321,0,0,0,427,0,0,0,0,35,0,0,0,0,0,0,2869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0
2022,2,Santa Fe,17584,32,0,0,3350,101,5,11752,0,0,0,9722,0,0,0,396530,0,0,172,4424,0,23590,609730,0,4426,0,10767,754,1884340,0,0,7412,135,0,16306,61,0,1727,0,48492,0,0,0,39,23823,0,0,0,0,0,0,34395,0,0,0,9,18,0,2,0,1763,0,101,0,0,0,0,209832,0,0,0,0,0,0,0,438,0,0,0,0,0,0,0,0,0,0,0,0,0,1605,0,0,0,0
2022,2,Santiago Del Estero,792,0,0,0,390,139,908,493,0,0,307,380,0,0,0,113210,0,0,0,1267,0,385,159210,0,1450,0,12,0,584690,0,0,11111,0,0,592,0,0,0,0,2903,0,0,0,0,465,0,0,0,0,0,0,418,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,4247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,Tierra Del Fuego,3351,0,0,0,110,11,318,513,0,0,0,1,0,0,0,80,0,0,3740,2133,0,315,58550,0,0,0,9297,20,55110,0,0,11941,0,0,7743,0,0,207,0,77,0,0,0,96,1523,0,0,0,0,0,0,128,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,832,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,Tucumán,281,0,0,0,190,20,0,2195,0,0,0,119,0,0,0,90000,0,0,2271,350,0,1194,215270,0,157,0,145,190,430210,0,0,6939,0,0,2576,0,0,0,1,14118,0,0,0,65,3541,0,0,0,10,0,0,1247,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,81869,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022,1,Buenos Aires,26280,19,0,0,313800,192,5958,24098,0,0,351,24766,0,25,0,651120,0,0,50532,13729,65,34623,1241790,0,11296,289,74897,231,2350430,0,10,32963,128,33,97049,301,2,20609,0,139032,4,1,18,25,114692,0,0,0,0,0,0,726501,1397,7,2,873,0,0,0,0,3302,9,0,0,0,0,1,1006534,0,0,0,59,0,2,59,426428,78,2,0,0,6,0,0,0,3163,0,100884,0,4,212,0,2,0,0
2022,1,Capital Federal,1717,31,0,0,4610,35,1407,4168,0,0,0,316,0,0,0,53930,0,0,13670,992,0,3506,160410,0,7,0,18196,3,591840,0,5,4423,0,0,31903,5,0,15630,0,9087,1,0,0,0,33645,0,0,0,0,0,0,59618,0,0,0,9,0,0,0,60,124,0,0,0,0,0,0,420771,0,0,0,1,0,0,0,100334,0,0,0,0,0,1,0,0,3,0,31684,0,0,8,0,0,0,0
2022,1,Catamarca,2207,0,0,0,340,37,0,456,0,0,0,144,0,0,0,15420,0,0,0,0,0,18,26820,0,2,0,0,3,70040,0,0,3181,0,0,841,0,0,0,0,4751,0,0,0,2573,228,0,0,0,0,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Chaco,7580,0,225,111,2340,2,0,988,0,25,0,1007,0,0,0,47760,0,0,167,368,0,1757,87880,0,575,0,1248,1,194110,0,0,2161,0,0,1603,0,0,270,0,16864,0,0,0,0,1853,0,0,0,0,0,0,11170,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,36088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Chubut,15607,8,0,0,730,32,1069,608,0,0,0,5624,0,0,0,188390,0,0,12765,5529,0,2415,161970,0,180,0,13196,638,178420,0,1,13910,0,0,18909,0,0,0,0,260,0,0,0,1190,4134,0,0,0,0,0,0,9160,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,13124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Córdoba,13104,2,0,0,880,10,91,12691,0,0,7,9450,26,154,0,446300,0,6,4990,14055,0,8543,840610,13,2570,0,12013,2198,1092150,0,88,15722,35,11,25064,134,0,4073,0,28840,0,0,0,2,28685,5,1,35,0,0,0,6299,0,0,0,8,0,0,0,0,485,0,0,0,0,0,0,348330,0,0,0,0,0,0,0,5080,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0
2022,1,Corrientes,7094,0,0,0,100,57,118,3911,0,0,0,2959,0,0,0,75870,0,0,480,1688,0,1558,102910,0,0,0,2921,0,227440,0,0,187,0,0,1696,1108,0,236,0,23850,0,0,0,0,1262,0,0,0,0,0,0,9204,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
