ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_conexion,Accesos por cada 100 hab,Accesos por cada 100 hogares,Banda ancha fija,Dial up,Hasta 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otros Mbps,Total suma Mbps
69301,30018,1106,3054,4017,107496,15,48.52,106393,1103,422,5641,83900,306,10116,2965,1659,0,105009
80782,50284,127,1580,1167,132518,10,39.84,132517,1,645,4494,78830,32433,14620,2315,63,0,133400
54499,5068,816,1053,1013,62449,8,32.37,61789,660,31,1077,57582,1,0,2,2,0,58695
11407,7576,347,260,2363,21719,4,15.48,21408,311,63,3,12325,7,0,1,7,0,12406
19220,5487,1544,4552,2887,33690,10,33.29,33222,468,188,23,29102,542,66,33,1,0,29955
322953,290655,6338,4897,37499,662342,19,60.91,662086,256,3116,34019,320017,104453,125339,24536,12982,0,624462
27733,54096,19,9110,350,82794,9,35.12,82792,2,69,3288,40435,18489,3047,30,2,0,65360
21587,7012,622,10,2244,31466,19,65.74,30883,583,9,297,33858,0,0,0,0,0,34164
154130,6431,106,400,3050,161012,10,39.7,160979,33,109,8948,83070,45302,20514,1361,655,0,159959
1241172,1718013,131181,60082,31448,3181896,19,57.61,3171206,10690,3865,55046,1551194,264645,712513,335140,151747,114182,3188332
571363,961688,36277,3119,9877,1582324,52,122.9,1575418,6906,314,31411,517018,284040,458120,178396,114939,0,1584238
27083,263,11,10,22,29558,7,28.62,29548,10,34,3182,15315,5904,2927,43,2,2151,29558
55035,39690,389,3800,1121,96615,8,30.81,96603,12,70,3432,37144,24088,20123,7290,3289,1035,96471
56378,15097,1187,1407,6708,93440,16,51.46,91012,2428,67,4313,83676,5355,7,5,9,0,93432
56786,34722,894,1334,350,93771,9,32.52,93760,11,11,5220,41080,23686,16046,5053,2675,0,93771
349710,324709,12778,12043,10739,709979,19,63.33,709874,105,291,25411,280837,102892,217602,40898,24251,8429,700611
