Provincia,Partido,Localidad,ADSL,CableModem,Dial Up,Fibra Optica,Otras conexiones,Satelital,WIMAX,Wireless,Total general,Poblacion,Telefonia Fija,Latitud,Longitud
BUENOS AIRES,Villarino,Médanos,417,375,2,0,0,0,0,103,897,5245,SI,-38.8293145512181,-62.6943321574343
BUENOS AIRES,Villarino,Pedro Luro,393,582,0,1664,1,0,0,550,3190,9494,SI,-39.5007767274615,-62.6874317159849
BUENOS AIRES,Villarino,Argerich,0,0,0,0,0,0,0,29,29,80,SI,-38.7686560837266,-62.6025276771033
BUENOS AIRES,Villarino,Teniente Origone,0,0,0,0,0,0,0,16,16,145,SI,-39.0580586668564,-62.5697137402023
BUENOS AIRES,Villarino,Country Los Medanos,0,0,0,0,0,0,0,267,267,61,--,-38.8468445915571,-62.738741885831
BUENOS AIRES,Zárate,Lima,1,1833,0,1,0,2,0,0,1837,10219,SI,-34.0436335939636,-59.1973339595539
BUENOS AIRES,Zárate,Zárate,2447,24539,0,78,700,5,0,982,28751,98522,SI,-34.0998630672257,-59.024557255152
CATAMARCA,Ambato,El Bolsón,0,0,0,0,0,1,0,0,1,289,--,-27.9038743420396,-65.8884829262542
CATAMARCA,Ambato,El Rodeo,0,0,0,0,0,1,0,152,153,1007,SI,-28.2141516424861,-65.8738600634115
CATAMARCA,Ambato,La Puerta,0,0,0,0,0,5,0,0,5,706,SI,-28.1764379052117,-65.7863037835082
CATAMARCA,Ambato,Las Chacritas,0,0,0,0,0,1,0,0,1,74,--,-27.6464168267027,-65.9533446470458
CATAMARCA,Ambato,Los Varela,0,0,0,0,0,1,0,0,1,443,--,-27.9279942328057,-65.8822302327591
CATAMARCA,Ambato,Los Talas,0,0,0,0,0,0,0,66,66,170,--,-27.94999754917,-65.875829814164
CATAMARCA,Ancasti,Ancasti,0,0,0,0,0,1,0,0,1,361,--,-28.809829766706,-65.5021019996524
CATAMARCA,Andalgalá,Andalgalá,846,0,0,144,1,2,0,203,1196,12600,SI,-27.5732225954972,-66.3235466394645
CATAMARCA,Andalgalá,Chaquiago,0,0,0,9,0,1,0,14,24,1096,--,-27.5368955481985,-66.3350568927423
CATAMARCA,Andalgalá,El Potrero,0,0,0,13,0,0,0,0,13,184,--,-27.5162322380357,-66.3434280762552
CATAMARCA,Andalgalá,Aconquija,0,0,0,0,0,1,0,0,1,0,--,-27.4743798884533,-66.0266884349829
CATAMARCA,Andalgalá,El Alamito,0,0,0,0,0,0,0,20,20,734,--,-27.333537875981,-66.022985174122
CATAMARCA,Andalgalá,La Aguada,0,0,0,11,0,0,0,5,16,378,--,-27.534089032104,-66.3117750484602
CATAMARCA,Andalgalá,La Mesada,0,0,0,1,0,0,0,0,1,0,--,-27.4511959792163,-66.0199688270559
CATAMARCA,Antofagasta de la Sierra,Antofagasta de la Sierra,0,0,0,0,0,6,0,0,6,730,SI,-26.0632957365737,-67.4116706391736
CATAMARCA,Belén,Belén,0,0,0,0,0,4,0,0,4,12256,SI,-27.6337582271366,-67.0181224346383
CATAMARCA,Belén,Hualfín,0,0,0,0,0,1,0,0,1,987,--,-27.2251089488391,-66.8257494663378
CATAMARCA,Belén,Londres,0,0,0,0,0,1,0,0,1,2456,SI,-27.7091441699136,-67.1521288574758
CATAMARCA,Belén,El Durazno,0,0,0,0,0,1,0,0,1,378,--,-27.2352160693093,-67.0644302349354
CATAMARCA,Belén,Las Juntas,0,0,0,0,0,0,0,5,5,258,--,-27.5255267279244,-67.1230327103174
CATAMARCA,Belén,Puerta de San José,0,0,0,0,0,1,0,0,1,277,--,-27.5397412070942,-67.0153310519752
CATAMARCA,Capayán,Capayán,0,0,0,0,0,1,0,0,1,636,--,-28.7807106449765,-66.0386455444458
CATAMARCA,Capayán,Chumbicha,150,0,0,5,0,1,0,474,630,4531,SI,-28.8475652676601,-66.2413567840968
CATAMARCA,Capayán,Colonia del Valle,0,0,0,0,0,1,0,0,1,854,SI,-28.6659572317315,-65.8752053335172
CATAMARCA,Capayán,Colonia Nueva Coneta,0,0,0,10,0,1,0,9,20,1951,SI,-28.5859218596167,-65.8384330489801
CATAMARCA,Capayán,Coneta,0,0,0,10,0,1,0,0,11,653,SI,-28.5824940471212,-65.8832899522771
CATAMARCA,Capayán,Huillapima,0,0,0,5,0,2,0,9,16,2416,SI,-28.7326533523263,-65.9692671337206
CATAMARCA,Capayán,Miraflores,0,0,0,7,0,2,0,10,19,1650,SI,-28.61156437771,-65.9045510608673
CATAMARCA,Capayán,San Martín,0,0,0,0,0,7,0,0,7,426,--,-29.2514238184412,-65.7966971627176
CATAMARCA,Capayán,Los Angeles,0,0,0,0,0,0,0,5,5,383,--,-28.4757282890296,-65.9584714095267
CATAMARCA,Capital,El Pantanillo,11,13,0,2,0,2,0,0,28,44,SI,-28.5416893432334,-65.8026632730873
CATAMARCA,Capital,San Fernando del Valle de Catamarca,8238,10473,1,38963,0,1,0,14,57690,159139,SI,-28.4846581947085,-65.7867892937631
CATAMARCA,El Alto,El Alto,0,0,0,0,0,1,0,28,29,754,--,-28.3027477561138,-65.3693767192491
CATAMARCA,El Alto,Tapso,0,0,0,0,0,1,0,0,1,191,--,-28.415904197716,-65.1086409589416
CATAMARCA,La Paz,Icaño,0,0,0,0,0,1,0,0,1,2104,SI,-28.9308886124085,-65.2902158081112
CATAMARCA,La Paz,Recreo,183,9,0,1619,0,1,0,5,1817,11847,SI,-29.2768611237227,-65.0565641552447
CATAMARCA,La Paz,San Antonio,0,0,0,0,0,0,0,26,26,1835,SI,-28.9331053161662,-65.0949655869377
CATAMARCA,La Paz,Quirós,0,0,0,0,0,0,0,27,27,1156,SI,-28.7883056058069,-65.1007302335708
CATAMARCA,Paclín,La Merced,72,0,0,0,0,4,0,5,81,1759,SI,-28.1537649054231,-65.6696062414473
CATAMARCA,Paclín,La Viña,0,0,0,0,0,0,0,10,10,129,--,-28.044445782746,-65.6079383578395
CATAMARCA,Paclín,Las Lajas,0,0,0,0,0,1,0,0,1,136,--,-27.826913357423,-65.7401079267206
CATAMARCA,Paclín,San Antonio,0,0,0,0,0,1,0,7,8,266,--,-28.0073083693979,-65.726850392729
CATAMARCA,Pomán,Mutquin,0,0,0,0,0,1,0,0,1,1075,--,-28.3178455729042,-66.1420642866296
CATAMARCA,Pomán,Pomán,0,0,0,0,0,2,0,0,2,2856,SI,-28.3927801149204,-66.2220823999264
CATAMARCA,Pomán,San Miguel,0,0,0,0,0,0,0,7,7,413,--,-28.1297413013666,-66.2019565174868
CATAMARCA,Pomán,Saujil,0,0,0,0,0,1,0,169,170,2368,SI,-28.173337080009,-66.2145148644181
CATAMARCA,Pomán,Siján,0,0,0,0,0,1,0,0,1,1169,SI,-28.2623558875079,-66.2209299175292
CATAMARCA,Pomán,Colpes,0,0,0,0,0,0,0,16,16,774,--,-28.0606503909839,-66.2065039006705
CATAMARCA,Santa María,La Loma,0,0,0,0,0,1,0,0,1,388,--,-26.7574990827117,-66.0331064865258
CATAMARCA,Santa María,San José,0,0,0,0,0,1,0,0,1,2901,--,-26.77456,-66.03470
CATAMARCA,Santa María,Santa María,0,0,0,0,2151,1,0,0,2152,11648,--,-26.6891167120231,-66.018884441311
CATAMARCA,Santa Rosa,Alijilán,0,0,0,0,0,2,0,0,2,1396,SI,-28.1771812692249,-65.4915924205872
CATAMARCA,Santa Rosa,Bañado de Ovanta,0,0,0,0,0,1,0,0,1,1096,SI,-28.1034003361447,-65.3076846046355
CATAMARCA,Santa Rosa,Lavalle,0,0,0,0,0,1,0,0,1,792,--,-28.1946338127179,-65.1137806266473
CATAMARCA,Santa Rosa,Los Altos,0,0,0,0,0,1,0,6,7,4490,SI,-28.0488590493489,-65.4973640431533
CATAMARCA,Tinogasta,Fiambalá,0,0,0,8,0,2,0,7,17,4693,SI,-27.69316213413,-67.608574901701
CATAMARCA,Tinogasta,Tinogasta,510,0,0,1828,0,2,0,0,2340,11485,SI,-28.0637510698675,-67.5802695760226
CATAMARCA,Valle Viejo,El Portezuelo,0,0,0,0,0,6,0,0,6,410,--,-28.4818680419511,-65.6351326652418
CATAMARCA,Valle Viejo,San Isidro,0,0,0,2457,0,0,0,5,2462,25674,--,-28.4583109666735,-65.726757673457
CATAMARCA,Valle Viejo,Santa Rosa,0,0,0,759,0,0,0,5,764,0,--,-28.447802287271,-65.7055328995515
CATAMARCA,Valle Viejo,Villa Dolores,0,0,0,103,0,0,0,5,108,0,--,-28.4434739220039,-65.7215360640125
CATAMARCA,Valle Viejo,Sumalao,0,0,0,1,0,0,0,5,6,0,--,-28.4746455518307,-65.7433480027028
CATAMARCA,Valle Viejo,Polcos,0,0,0,213,0,0,0,0,213,0,--,-28.4333815878035,-65.7202973350365
CATAMARCA,Valle Viejo,Pozo Del Mistol,0,0,0,18,0,0,0,0,18,0,--,-28.4689789857859,-65.7195047318519
CATAMARCA,Valle Viejo,El Bañado,0,0,0,7,0,0,0,0,7,0,--,-28.4594352492075,-65.7113717209433
CATAMARCA,Fray Mamerto Esquiú,San Antonio,0,0,0,4,0,0,0,0,4,0,--,-28.4237766788262,-65.7062134320732
CATAMARCA,Fray Mamerto Esquiú,San José,0,0,0,1,0,0,0,0,1,10242,--,-28.3887321458271,-65.7062701247999
CATAMARCA,Fray Mamerto Esquiú,Villa Las Pirquitas,0,0,0,0,0,1,0,0,1,740,--,-28.2754665210832,-65.733431477509
CATAMARCA,Fray Mamerto Esquiú,La Carrera,0,0,0,0,0,1,0,0,1,0,--,-28.3495576813874,-65.7091195877043
CATAMARCA,Fray Mamerto Esquiú,El Hueco,0,0,0,26,0,0,0,0,26,0,--,-28.4127884506849,-65.7175369854892
CATAMARCA,Fray Mamerto Esquiú,La Falda De San Antonio,0,0,0,0,0,0,0,5,5,0,--,-28.4198487342191,-65.6988377960377
CATAMARCA,Fray Mamerto Esquiú,La Tercena,0,0,0,0,0,0,0,5,5,0,--,-28.3734473479931,-65.7081292515981
CHACO,12 de Octubre,Gancedo,0,0,0,26,0,2,0,76,104,4284,SI,-27.4896487904756,-61.6738771708385
CHACO,12 de Octubre,General Pinedo,195,0,0,472,0,2,0,0,669,13042,SI,-27.3252979421708,-61.282210419911
CHACO,1º de Mayo,Colonia Benítez,153,0,0,11,0,1,0,2,167,2212,SI,-27.3305884379906,-58.9450102746869
CHACO,1º de Mayo,Margarita Belén,382,0,0,180,0,0,0,77,639,5701,SI,-27.2616473234151,-58.9741473116095
CHACO,2 de Abril,Hermoso Campo,0,28,0,175,0,1,0,0,204,5011,SI,-27.610539212014,-61.344844244037
CHACO,2 de Abril,Itín,0,0,0,30,478,0,0,0,508,441,--,-27.4876216159572,-61.3238818419592
CHACO,25 de Mayo,Colonia Aborigen,0,0,0,0,0,0,0,46,46,1272,--,-26.9583436350996,-60.1902370459592
CHACO,25 de Mayo,Machagai,369,311,0,45,0,0,0,269,994,21997,SI,-26.9287335504143,-60.0477196130638
CHACO,9 de Julio,Las Breñas,1293,0,0,74,0,1,0,0,1368,22953,SI,-27.0885167236059,-61.0836993088858
CHACO,Almirante Brown,Concepción del Bermejo,0,0,0,373,0,2,0,230,605,5309,SI,-26.602273964006,-60.9492636999567
CHACO,Almirante Brown,Los Frentones,0,0,0,344,0,1,0,0,345,5520,SI,-26.4082976307567,-61.4134271371597
CHACO,Almirante Brown,Pampa del Infierno,0,0,0,1375,0,6,0,65,1446,9063,SI,-26.5063974406178,-61.1764901971888
CHACO,Almirante Brown,Taco Pozo,0,0,0,332,0,3,0,0,335,7813,SI,-25.6156598937138,-63.2692964997065
